,2025
1.Population_Grid,11480433.834682068
1.Population_SA_Diesel,0
1.Population_SA_PV,0
1.Population_MG_Diesel,0
1.Population_MG_PV,0
1.Population_MG_Wind,0
1.Population_MG_Hydro,0
2.New_Connections_Grid,3149932.1501572104
2.New_Connections_SA_Diesel,0
2.New_Connections_SA_PV,0
2.New_Connections_MG_Diesel,0
2.New_Connections_MG_PV,0
2.New_Connections_MG_Wind,0
2.New_Connections_MG_Hydro,0
3.Capacity_Grid,262238.9958418612
3.Capacity_SA_Diesel,0
3.Capacity_SA_PV,0
3.Capacity_MG_Diesel,0
3.Capacity_MG_PV,0
3.Capacity_MG_Wind,0
3.Capacity_MG_Hydro,0
4.Investment_Grid,1027179574.8542765
4.Investment_SA_Diesel,0
4.Investment_SA_PV,0
4.Investment_MG_Diesel,0
4.Investment_MG_PV,0
4.Investment_MG_Wind,0
4.Investment_MG_Hydro,0
Min_cluster_pop_2030,4.181245462
Max_cluster_pop_2030,1651147.9309999999
Min_cluster_area,1
Max_cluster_area,1
Min_existing_grid_dist,0.0
Max_existing_grid_dist,301.757
Min_road_dist,0.0001258
Max_road_dist,137.7594604
Min_investment_capita_cost,166.3024074227367
Max_investment_capita_cost,39248.43204616573
